SPCE,348.03,328.97,1,1.5
TSLA,424.76,110.22,1,2.0
ACAD,64.18,122.80,1,2.3
COIN,2.71,25.94,2,1.0
FGEN,99.29,148.24,1,1.4
JD,11.49,-50.15,1,2.1
BABA,59.81,50.11,1,2.2
TCS,177.83,-157.86,1,1.0
SBER,38.00,-28.13,1,1.8
AFLT,88.21,97.45,1,1.4
MSFT,20.90,-14.31,1,1.5
NFLX,1.42,-12.96,1,1.0
GAZP,9.05,-20.69,1,2.3
GOOG,75.55,4.58,1,1.2
FB,2.98,-46.72,1,1.3
ORCL,22.38,-27.83,1,2.0
HYDR,3.12,-28.13,1,1.1
NXPI,3.71,-62.52,1,1.0
XLNX,63.56,19.60,2,1.2
NEE,14.92,-16.20,2,1.1
AMD,35.95,-5.46,1,1.4
DELL,65.79,-3.55,1,1.1
HHR,26.02,-120.00,1,2.3
KO,18.86,-0.84,2,1.0
TDOC,115.37,127.66,1,1.0
PLZL,36.26,9.83,1,1.8
IRAO,10.78,4.77,1,1.2
AGRO,38.83,-8.54,1,2.2
OZON,67.18,9.93,1,1.4
PFE,17.11,13.23,1,1.6
ACH,270.28,68.71,1,1.0
ENPH,113.40,5.37,3,1.7
EDIT,233.65,209.30,2,1.0
GMKN,54.29,25.53,1,2.3
BIDU,252.35,159.88,2,1.1
BIIB,15.29,31.75,2,1.0
NVDA,65.84,-17.85,1,1.0
ATRA,194.63,162.04,2,1.8
SPOT,29.36,30.02,1,1.0
RDY,53.33,15.59,1,2.4
TTM,136.41,-115.56,1,1.5
MOMO,19.32,54.59,1,1.1
CNC,2.40,-1.91,1,1.0
TXN,33.73,-29.74,1,1.0
ADI,15.48,-29.59,1,1.1
POLY,67.17,53.31,2,1.4
IBN,133.53,33.77,1,1.2
SCCO,113.49,-13.53,1,2.2
FCX,257.02,-132.85,1,1.3
